Designator,Mid X,Mid Y,Layer,Rotation
C1,175,-89.66,top,180
C2,168.22,-100.08,top,180
C3,160,-88,top,180
C4,116.5,-98.0375,top,270
C5,128.7,-100.6,top,270
C6,175.88,-98.43,top,90
C7,136.1,-91.5,top,90
C8,133.39,-99.98,top,270
C9,135,-102.6,top,180
C10,147.4,-92.4025,top,90
C11,149,-92.4025,top,90
C12,114.6625,-107.6,top,180
D1,136.8375,-104.4,top,0
D2,119.39,-98.38,top,270
D3,142.12,-104,top,180
FB1,124.8875,-109.9,top,180
L1,121.2,-104,top,270
L2,122.6025,-96.49,top,180
Q1,166.5,-91.6,top,270
Q2,160.36,-96.2625,top,180
R1,181.5,-102.4,top,270
R2,170,-91.6,top,270
R3,170.6375,-96.6,top,180
R4,166.7525,-88.38,top,0
R5,163.59,-98,top,270
R6,159.36,-100,top,90
R7,161.8025,-92.58,top,0
R8,130.3725,-107.6,top,180
R9,133.1,-91.5,top,270
R12,139.6,-103.1,top,90
R13,142,-102.2,top,0
R14,134.6,-91.5,top,90
R15,112.7875,-100.6,top,270
R16,112,-103,top,180
R17,155.26,-104.6,top,270
R18,139.6,-96.8,top,90
R19,121.6,-88.4,top,270
R20,121.6,-91.6,top,90
SW1,129,-87.7,top,270
TH1,134.7,-96.2,top,0
U1,115.6,-104.4,top,270
